               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.022351,            0.018881,           0.0046252,             0.90149,              0.7289,             0.78246,             0.59081,            0.019508,            0.011819,           0.0041342,            0.004654,            0.004654,            0.004654
                  56,            0.022429,            0.018623,           0.0048823,              0.9403,             0.73478,              0.7863,             0.59398,            0.019164,            0.011876,           0.0039658,            0.004555,            0.004555,            0.004555
                  57,            0.022545,            0.018715,           0.0049069,              0.9216,             0.74212,              0.7828,             0.59092,            0.019589,            0.011742,            0.004065,            0.004456,            0.004456,            0.004456
                  58,            0.022176,            0.018692,           0.0048923,             0.93628,             0.73656,             0.79141,             0.60123,            0.019121,            0.011767,           0.0031722,            0.004357,            0.004357,            0.004357
                  59,            0.022119,            0.018621,           0.0044939,             0.92468,             0.71861,             0.78265,             0.59295,            0.019459,             0.01174,           0.0034379,            0.004258,            0.004258,            0.004258
                  60,            0.022286,            0.018831,           0.0049968,             0.92371,             0.73993,              0.7744,             0.58252,            0.019407,            0.011831,           0.0036986,            0.004159,            0.004159,            0.004159
                  61,            0.021904,            0.018343,           0.0047775,             0.93548,             0.73306,               0.795,             0.59914,            0.019498,             0.01161,           0.0036412,             0.00406,             0.00406,             0.00406
                  62,            0.021994,            0.018202,           0.0043962,             0.91561,             0.74313,             0.78894,             0.59065,            0.019154,            0.011775,           0.0043313,            0.003961,            0.003961,            0.003961
                  63,            0.021646,             0.01825,           0.0043572,             0.94823,             0.73551,             0.79973,             0.60761,            0.019079,            0.011641,            0.003697,            0.003862,            0.003862,            0.003862
                  64,            0.021597,            0.017885,           0.0042675,              0.9008,             0.74996,             0.78507,             0.59292,            0.019269,            0.011616,           0.0035785,            0.003763,            0.003763,            0.003763
                  65,            0.021555,            0.018045,           0.0045433,             0.72328,             0.86787,             0.83213,             0.62975,            0.019173,            0.011751,           0.0034611,            0.003664,            0.003664,            0.003664
                  66,             0.02146,            0.018065,           0.0042603,             0.76002,             0.78832,             0.80616,             0.60344,            0.019384,            0.011719,           0.0037455,            0.003565,            0.003565,            0.003565
                  67,            0.021286,             0.01797,           0.0042452,             0.74541,             0.81867,             0.83701,             0.62602,            0.018956,            0.011697,           0.0039292,            0.003466,            0.003466,            0.003466
                  68,            0.020938,            0.017906,            0.004068,             0.69505,             0.84019,              0.8236,             0.62162,            0.019281,            0.011563,           0.0041051,            0.003367,            0.003367,            0.003367
                  69,            0.020999,            0.017723,           0.0040427,             0.70906,             0.86204,             0.81396,             0.61657,            0.019245,            0.011627,            0.004029,            0.003268,            0.003268,            0.003268
                  70,            0.020794,             0.01776,           0.0046378,             0.70343,             0.79985,             0.80527,             0.61928,            0.019111,            0.011732,            0.003572,            0.003169,            0.003169,            0.003169
